date,Participacion Global_1,Participacion Bruta_1,Participacion Global_2,Participacion Bruta_2
01122007,66.65,46.63,71.07,45.67
01062008,68.48,48.56,70.93,46.34
01122008,65.91,47.05,66.75,43.97
01122009,64.58,47.00,66.74,45.54
01062010,63.97,46.93,66.78,45.42
01122010,61.90,45.58,63.88,44.07
01062011,61.61,45.90,64.58,44.95
01122011,62.45,46.17,62.55,44.06
01062012,63.53,47.30,66.13,46.79
01122012,61.51,46.22,62.02,44.50
01062013,62.32,46.94,66.45,48.11
01122013,61.03,43.93,64.40,43.54
01032014,61.45,44.24,65.54,44.21
01062014,61.92,44.34,62.20,41.67
01092014,62.28,44.69,65.94,44.05
01122014,63.03,44.45,67.71,44.76
01032015,62.78,44.26,72.69,48.30
01062015,63.71,45.05,70.74,46.92
01092015,65.34,46.38,71.26,47.04
01122015,64.63,45.99,68.42,45.11
01032016,66.18,46.99,73.94,49.33
01062016,65.08,46.43,73.94,49.14
01092016,66.29,47.41,75.91,51.01
01122016,65.31,46.79,71.92,47.78
01032017,65.57,47.01,76.65,51.04
01062017,65.72,47.78,75.64,50.52
01092017,66.05,47.66,75.35,50.56
01122017,65.85,47.42,72.08,48.21
01032018,65.24,46.81,74.71,50.58
01062018,63.20,45.51,73.60,49.51
01092018,65.22,47.37,74.71,50.55
01122018,63.09,45.83,71.34,48.27
01032019,63.12,45.85,74.32,50.28
01062019,63.31,46.00,74.92,50.68
01092019,64.65,46.96,75.04,50.78
01122019,62.28,45.23,72.27,48.90
01092020,60.42,43.89,71.53,48.40
01122020,61.15,44.42,71.52,48.39
01012021,61.89,44.96,76.45,51.72
01022021,61.74,44.85,73.71,49.87
01032021,60.01,43.59,72.65,49.16
01042021,61.68,44.81,75.62,51.17
01052021,63.41,46.06,76.00,51.43
01062021,62.75,45.58,72.89,49.32
01072021,62.23,45.20,72.40,48.99
